 XGSE    YGSE   ZGSE    R    BXGSE   BYGSE   BZGSE   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
   1.877   0.278   0.279   1.917     1728.77       61.22     3793.36     4169.17
   1.872   0.278   0.270   1.912     1791.29       67.66     3812.35     4212.76
   1.868   0.278   0.261   1.907     1854.68       74.19     3831.39     4257.33
   1.864   0.277   0.252   1.901     1918.96       80.82     3850.48     4302.92
   1.859   0.277   0.243   1.895     1984.15       87.55     3869.61     4349.53
   1.855   0.277   0.234   1.890     2050.28       94.38     3888.79     4397.19
   1.850   0.277   0.226   1.884     2117.37      101.31     3908.00     4445.90
   1.845   0.276   0.217   1.878     2185.44      108.35     3927.26     4495.69
   1.840   0.276   0.208   1.872     2254.52      115.50     3946.54     4546.58
   1.835   0.276   0.200   1.866     2324.62      122.76     3965.85     4598.58
   1.830   0.276   0.191   1.860     2395.78      130.13     3985.19     4651.72
   1.825   0.275   0.182   1.854     2468.03      137.62     4004.55     4706.01
   1.819   0.275   0.174   1.848     2541.38      145.23     4023.93     4761.48
   1.814   0.275   0.165   1.842     2615.86      152.96     4043.31     4818.14
   1.809   0.274   0.157   1.836     2691.50      160.81     4062.70     4876.02
   1.803   0.274   0.149   1.830     2768.33      168.79     4082.10     4935.14
   1.797   0.274   0.141   1.824     2846.37      176.90     4101.49     4995.53
   1.792   0.273   0.132   1.817     2925.66      185.15     4120.87     5057.21
   1.786   0.273   0.124   1.811     3006.22      193.54     4140.24     5120.20
   1.780   0.273   0.116   1.804     3088.09      202.06     4159.59     5184.52
   1.774   0.272   0.108   1.798     3171.28      210.73     4178.90     5250.21
   1.768   0.272   0.100   1.791     3255.85      219.54     4198.19     5317.28
   1.762   0.271   0.092   1.785     3341.81      228.51     4217.43     5385.78
   1.755   0.271   0.085   1.778     3429.19      237.63     4236.63     5455.72
   1.749   0.271   0.077   1.772     3518.04      246.91     4255.77     5527.13
   1.743   0.270   0.069   1.765     3608.39      256.34     4274.84     5600.04
   1.736   0.270   0.062   1.758     3700.26      265.95     4293.85     5674.49
   1.730   0.269   0.054   1.751     3793.71      275.72     4312.77     5750.50
   1.723   0.269   0.047   1.744     3888.75      285.66     4331.60     5828.10
   1.716   0.268   0.039   1.738     3985.44      295.78     4350.34     5907.34
   1.710   0.268   0.032   1.731     4083.80      306.08     4368.96     5988.23
   1.703   0.267   0.025   1.724     4183.87      316.56     4387.46     6070.82
   1.696   0.267   0.017   1.717     4285.70      327.23     4405.84     6155.14
   1.689   0.266   0.010   1.710     4389.33      338.09     4424.07     6241.23
   1.682   0.266   0.003   1.703     4494.79      349.15     4442.15     6329.12
   1.675   0.265  -0.004   1.695     4602.13      360.41     4460.07     6418.86
   1.667   0.264  -0.011   1.688     4711.39      371.88     4477.80     6510.47
   1.660   0.264  -0.017   1.681     4822.62      383.55     4495.35     6604.01
   1.653   0.263  -0.024   1.674     4935.86      395.44     4512.69     6699.51
   1.645   0.263  -0.031   1.666     5051.14      407.55     4529.81     6797.01
   1.638   0.262  -0.038   1.659     5168.54      419.89     4546.70     6896.56
   1.630   0.261  -0.044   1.652     5288.08      432.45     4563.34     6998.21
   1.623   0.261  -0.051   1.644     5409.83      445.24     4579.71     7101.99
   1.615   0.260  -0.057   1.637     5533.82      458.28     4595.80     7207.95
   1.607   0.260  -0.063   1.629     5660.10      471.56     4611.59     7316.14
   1.600   0.259  -0.070   1.622     5788.74      485.08     4627.06     7426.61
   1.592   0.258  -0.076   1.614     5919.79      498.86     4642.20     7539.42
   1.584   0.258  -0.082   1.607     6053.30      512.90     4656.98     7654.60
   1.576   0.257  -0.088   1.599     6189.31      527.21     4671.38     7772.21
   1.568   0.256  -0.094   1.592     6327.90      541.79     4685.39     7892.32
   1.560   0.256  -0.100   1.584     6469.11      556.64     4698.97     8014.96
   1.552   0.255  -0.106   1.576     6613.02      571.77     4712.12     8140.21
   1.544   0.254  -0.111   1.568     6759.66      587.20     4724.79     8268.10
   1.536   0.253  -0.117   1.561     6909.11      602.91     4736.98     8398.71
   1.527   0.253  -0.123   1.553     7061.44      618.93     4748.65     8532.09
   1.519   0.252  -0.128   1.545     7216.69      635.25     4759.77     8668.31
   1.511   0.251  -0.134   1.537     7374.94      651.88     4770.32     8807.42
   1.502   0.251  -0.139   1.529     7536.25      668.83     4780.28     8949.49
   1.494   0.250  -0.144   1.521     7700.69      686.10     4789.60     9094.60
   1.485   0.249  -0.150   1.513     7868.32      703.70     4798.27     9242.79
   1.477   0.248  -0.155   1.505     8039.23      721.64     4806.24     9394.14
   1.468   0.247  -0.160   1.497     8213.46      739.92     4813.49     9548.72
   1.460   0.247  -0.165   1.489     8391.11      758.54     4819.98     9706.61
   1.451   0.246  -0.170   1.481     8572.23      777.53     4825.67     9867.87
   1.442   0.245  -0.175   1.473     8756.91      796.87     4830.53    10032.57
   1.433   0.244  -0.179   1.465     8945.21      816.58     4834.53    10200.80
   1.425   0.244  -0.184   1.457     9137.21      836.66     4837.60    10372.61
   1.416   0.243  -0.189   1.449     9332.98      857.12     4839.74    10548.10
   1.407   0.242  -0.193   1.441     9532.62      877.97     4840.88    10727.34
   1.398   0.241  -0.198   1.432     9736.19      899.21     4840.99    10910.42
   1.389   0.240  -0.202   1.424     9943.76      920.85     4840.01    11097.39
   1.380   0.239  -0.206   1.416    10155.43      942.89     4837.91    11288.36
   1.371   0.239  -0.211   1.408    10371.26      965.35     4834.63    11483.41
   1.362   0.238  -0.215   1.399    10591.35      988.21     4830.13    11682.61
   1.353   0.237  -0.219   1.391    10815.76     1011.50     4824.36    11886.05
   1.344   0.236  -0.223   1.383    11044.58     1035.21     4817.26    12093.82
   1.335   0.235  -0.227   1.374    11277.88     1059.36     4808.78    12305.99
   1.326   0.234  -0.231   1.366    11515.76     1083.94     4798.86    12522.65
   1.316   0.233  -0.235   1.357    11758.28     1108.96     4787.45    12743.89
   1.307   0.233  -0.238   1.349    12005.52     1134.42     4774.49    12969.78
   1.298   0.232  -0.242   1.340    12257.57     1160.33     4759.93    13200.43
   1.288   0.231  -0.246   1.332    12514.50     1186.68     4743.68    13435.90
   1.279   0.230  -0.249   1.323    12776.37     1213.50     4725.72    13676.28
   1.270   0.229  -0.252   1.315    13043.28     1240.76     4705.95    13921.66
   1.260   0.228  -0.256   1.306    13315.27     1268.48     4684.33    14172.10
   1.251   0.227  -0.259   1.298    13592.43     1296.66     4660.78    14427.70
   1.242   0.226  -0.262   1.289    13874.82     1325.29     4635.25    14688.52
   1.232   0.225  -0.265   1.280    14162.49     1354.38     4607.65    14954.63
   1.223   0.225  -0.268   1.272    14455.50     1383.92     4577.94    15226.11
   1.213   0.224  -0.271   1.263    14753.92     1413.90     4546.03    15503.02
   1.204   0.223  -0.274   1.254    15057.76     1444.33     4511.87    15785.41
   1.194   0.222  -0.277   1.246    15367.08     1475.19     4475.39    16073.35
   1.184   0.221  -0.280   1.237    15681.90     1506.48     4436.53    16366.87
   1.175   0.220  -0.283   1.228    16002.28     1538.20     4395.20    16666.04
   1.165   0.219  -0.285   1.219    16328.18     1570.31     4351.37    16970.85
   1.156   0.218  -0.288   1.211    16659.64     1602.82     4304.97    17281.36
   1.146   0.217  -0.290   1.202    16996.64     1635.70     4255.93    17597.56
   1.136   0.216  -0.293   1.193    17339.16     1668.94     4204.22    17919.46
   1.127   0.215  -0.295   1.184    17687.16     1702.51     4149.77    18247.05
   1.117   0.214  -0.297   1.175    18040.60     1736.38     4092.56    18580.30
   1.107   0.213  -0.299   1.167    18399.42     1770.54     4032.54    18919.17
   1.098   0.212  -0.301   1.158    18763.51     1804.94     3969.69    19263.58
   1.088   0.212  -0.303   1.149    19132.79     1839.54     3903.98    19613.48
   1.078   0.211  -0.305   1.140    19507.09     1874.30     3835.42    19968.73
   1.068   0.210  -0.307   1.131    19886.28     1909.19     3764.03    20329.22
   1.058   0.209  -0.309   1.122    20270.15     1944.12     3689.80    20694.77
